Name	Length	EffectiveLength	TPM	NumReads
FBgn0063924	307	136.559	0.000568	0.001
FBgn0262616	554	383.401	0.311767	1
FBgn0267891	718	547.336	0.000814	0.004
FBgn0053491	369	198.533	10.0267	16.654
FBgn0050374	600	429.39	0.278376	1
FBtr0347034	740	569.322	0	0
FBgn0267898	414	243.487	0.000466	0.001
FBgn0260469	924.037	753.266	0.419394	2.643
FBgn0267874	253	82.594	0	0
FBgn0030243	4726.95	4555.95	37.6994	1436.91
FBgn0032269	1867	1696	0	0
FBgn0266369	2930	2759	17.0698	394
FBgn0032596	775.689	604.996	150.947	764
FBgn0033770	666.099	495.454	0.241257	1
FBgn0259237	2786	2615	0	0
FBgn0013685	525	354.418	0	0
FBgn0031021	768	597.311	72.1892	360.736
FBgn0033491	3329	3158	6.58598	174
FBgn0051141	961	790.203	0.151267	1
FBgn0284082	778	607.306	0.196823	1
FBgn0036396	1352	1181	7.08484	70
FBgn0036641	885.247	714.477	25.2623	151
FBgn0027594	4492.94	4321.94	162.319	5869
FBgn0261954	7896.04	7725.04	42.4587	2744
FBgn0029987	639	468.361	0.255213	1
FBgn0031660	1140.23	969.234	131.466	1066
FBgn0038619	939.877	769.103	21.2922	137
FBgn0001341	3680	3509	7.49415	220
FBgn0037541	7048.73	6877.73	25.1233	1445.56
FBgn0016701	1124.89	953.987	65.6557	524
FBgn0039110	1769.5	1598.51	53.8626	720.308
FBgn0038839	2837.5	2666.5	0	0
FBgn0264307	3661.06	3490.06	9.24484	269.929
FBgn0263355	3593.63	3422.63	43.7293	1252.13
FBgn0032482	2180.39	2009.4	184.288	3097.99
FBgn0050082	843	672.265	0.355609	2
FBgn0033698	5896	5725	16.1394	773
FBgn0032240	530	359.412	140.361	422.041
FBgn0029925	1070	899.004	23.268	175
FBgn0039017	1757	1586	6.3308	84
FBgn0259711	908	737.231	9.56604	59
FBgn0051140	5817.47	5646.47	5.94883	281.011
FBgn0036813	1221	1050	46.4465	408
FBgn0004379	2923.47	2752.47	20.845	480.001
FBgn0036158	782	611.303	0	0
FBgn0031816	2037.08	1866.09	6.98197	109
FBgn0034923	1676.2	1505.21	23.0296	290
FBgn0039582	1151	980.004	0	0
FBgn0051635	6337.43	6166.43	9.66266	498.479
FBgn0263117	5200.04	5029.04	0.057727	2.429
FBgn0030259	717	546.336	0	0
FBgn0029858	1970.73	1799.74	10.0683	151.594
FBgn0260745	2899.09	2728.09	232.045	5296
FBgn0015791	1157.03	986.039	115.648	954
FBgn0051453	1609.53	1438.53	46.7812	563
FBgn0025574	1987.82	1816.83	15.1321	230
FBgn0039637	3172.43	3001.43	102.709	2579
FBgn0023095	4717.42	4546.42	1.5249	58
FBgn0014022	1444	1273	14.648	156
FBgn0035134	1243	1072	0.446013	4
FBgn0044826	3594.86	3423.87	62.0375	1777
FBgn0030937	1405	1234	0	0
FBgn0085213	715	544.337	0.219592	1
FBgn0039875	2423.71	2252.72	62.1346	1171
FBgn0037736	3968.28	3797.28	0.031478	1
FBgn0024732	2153	1982	16.1627	268
FBgn0053700	1116	945.004	0	0
FBgn0260747	1000.37	829.517	239.491	1662
FBgn0038011	1767	1596	0	0
FBgn0066365	2782.43	2611.44	0.183089	4
FBgn0039863	5856.68	5685.69	30.5258	1452
FBgn0037721	826.928	656.202	0.728628	4
FBgn0036459	2408	2237	0	0
FBgn0038291	1731	1560	16.4739	215
FBgn0001114	3261.49	3090.49	1251.01	32345
FBgn0262894	324	153.554	0	0
FBgn0015772	4885.7	4714.71	13.7642	542.903
FBgn0030873	1720.91	1549.92	88.1497	1143
FBgn0086675	7282.81	7111.81	0.145491	8.656
FBgn0038223	4283.11	4112.12	8.97316	308.693
FBgn0027081	2318.97	2147.97	207.029	3720.28
FBgn0043458	3248.03	3077.03	53.1968	1369.41
FBgn0262010	471	300.456	0.397835	1
FBgn0259963	337	166.547	0	0
FBgn0010238	2156	1985	74.0674	1230
FBgn0034184	3164.3	2993.31	26.9947	676
FBgn0000018	1794	1623	21.6527	294
FBgn0032809	910	739.23	0.970186	6
FBgn0036605	513	342.429	0.349071	1
FBgn0052280	1132.85	961.854	29.0797	234
FBgn0000055	1170.84	999.845	0.559166	4.678
FBgn0033657	3918	3747	0.095702	3
FBgn0035421	1684	1513	16.4326	208
FBgn0030666	1623.18	1452.19	1.57334	19.114
FBgn0011202	4185.56	4014.56	32.0076	1075
FBgn0050091	1681	1510	0	0
FBgn0033260	3377.32	3206.32	30.5697	820
FBgn0283427	8581.13	8410.13	602.624	42400
FBgn0033740	2222.26	2051.26	17.7148	304
FBgn0011725	2808.24	2637.24	25.1906	555.782
FBgn0034377	761	590.316	0	0
FBgn0284248	680.99	510.338	784.406	3349
FBgn0040674	982	811.167	0.203503	1.381
FBgn0036323	1637	1466	0	0
FBgn0038260	1973	1802	3.05131	46
FBgn0034617	1987	1816	7.83274	119
FBgn0262018	7549.52	7378.53	0.0324	2
FBgn0031873	840	669.268	19.6461	110
FBgn0032366	866	695.242	0	0
FBgn0035241	4514.67	4343.68	0.963151	35
FBgn0260049	2268.62	2097.62	132.375	2323
FBgn0015558	4364.76	4193.77	0.884005	31.014
FBgn0267875	162	11.288	0	0
FBgn0003870	4255.57	4084.58	32.2784	1103
FBgn0053061	1278	1107	0	0
FBgn0041181	4928	4757	0.050255	2
FBgn0039778	933	762.229	0	0
FBgn0014455	1599.83	1428.84	221.17	2643.78
FBgn0030462	934.86	764.073	0.31288	2
FBgn0051832	762	591.316	0.202146	1
FBgn0000259	1484.76	1313.84	119.72	1315.91
FBgn0261581	717.5	546.831	0	0
FBgn0039271	836	665.271	10.4211	58
FBgn0031463	1194	1023	0	0
FBgn0014006	4634.08	4463.09	25.2825	944
FBgn0037150	1456	1285	13.1159	141
FBgn0030294	1628	1457	15.0132	183
FBgn0036039	1971.45	1800.45	13.3444	201
FBgn0029676	2021.93	1850.93	49.4978	766.467
FBgn0037475	1444.5	1273.5	0	0
FBgn0052076	1529	1358	25.966	295
FBgn0058354	1400	1229	3.29615	33.89
FBgn0033738	3625.06	3454.06	28.6885	829
FBgn0064126	1583.12	1412.12	34.5906	408.645
FBgn0039115	970	799.183	16.2144	108.409
FBgn0010356	2362	2191	16.6395	305
FBgn0051100	2578	2407	0.09932	2
FBgn0263249	318	147.555	0	0
FBgn0039635	1187.38	1016.46	178.747	1520
FBgn0050010	742.662	571.981	3.55264	17
FBgn0034495	1429	1258	15.247	160.466
FBgn0005617	3840.62	3669.62	30	921
FBgn0030703	1449.6	1278.6	117.98	1262
FBgn0036574	4083.08	3912.08	16.2837	532.94
FBgn0038742	1418	1247	69.8784	729
FBgn0003162	1643.36	1472.36	4.70866	58
FBgn0046999	672	501.35	0	0
FBgn0037345	831	660.273	13.7586	76
FBgn0037050	1522.97	1351.98	9.1065	103
FBgn0029783	1118.63	947.635	10.5955	84
FBgn0261269	3725.82	3554.82	3.83328	114
FBgn0264270	2303.66	2132.66	34.4807	615.197
FBgn0259822	4848.85	4677.86	0.104658	4.096
FBgn0034035	1562	1391	28.0138	326
FBgn0039270	868	697.241	13.0291	76
FBgn0031626	1990	1819	0	0
FBgn0051324	1972.06	1801.07	37.8665	570.56
FBgn0260858	1469	1298	47.9783	521
FBgn0031874	1706.61	1535.61	7.4029	95.104
FBgn0262719	7923.31	7752.32	0.354634	23
FBgn0082831	6728.68	6557.69	24.7425	1357.41
FBgn0259239	3209.49	3038.5	0.078678	2
FBgn0036146	755	584.319	3.88676	19
FBgn0035073	3322	3151	11.2286	296
FBgn0020371	789	618.3	0	0
FBgn0032845	1537.62	1366.63	8.48408	97
FBgn0283651	4381.66	4210.66	1.19244	42.005
FBgn0267824	2632	2461	45.0733	928
FBgn0069973	901.819	731.044	18.967	116.001
FBgn0036301	1709	1538	18.6525	240
FBgn0265048	4744	4573	184.591	7062
FBgn0261057	237.5	67.116	0	0
FBgn0052564	1448	1277	0	0
FBgn0030797	1019.46	848.678	14.808	105.138
FBgn0001296	2198.19	2027.19	2.94822	50
FBgn0259972	1093	922.004	0.005085	0.039
FBgn0053986	871	700.238	0	0
FBgn0032435	2743	2572	0.092948	2
FBgn0033905	1172.71	1001.71	15.9899	134
FBgn0029539	639.5	468.862	0	0
FBgn0030502	2958.49	2787.49	77.787	1814
FBgn0032554	1230	1059.11	0	0
FBgn0036410	2248	2077	0.460402	8
FBgn0025390	6226.55	6055.56	2.33182	118.132
FBgn0038394	1047	876.004	0.691574	5.068
FBgn0029715	1081.99	910.99	61.5379	469
FBgn0034911	6361	6190	0.096552	5
FBgn0026063	2066	1895	0.609683	9.666
FBgn0032375	787.608	616.91	0.193759	1
FBgn0033665	1878	1707	11.2739	161
FBgn0085380	3223	3052	0	0
FBgn0037493	813	642.287	0	0
FBgn0053701	315	144.557	0	0
FBgn0032189	1259	1088	14.502	132
FBgn0033726	683	512.347	0	0
FBgn0037526	2110.26	1939.27	7.45415	120.935
FBgn0028902	2094.43	1923.43	0.12429	2
FBgn0050289	1164	993.004	0.120374	1
FBgn0038131	1100	929.004	0.016685	0.13
FBgn0004910	2001.4	1830.46	0.130603	2
FBgn0037715	1039.56	868.565	26.2854	191
FBgn0038151	1571	1400	0	0
FBgn0005391	1584.5	1413.5	0	0
FBgn0265416	5009.33	4838.34	0.168818	6.833
FBgn0033115	1324.22	1153.22	11.9198	115
FBgn0029587	2609.5	2438.51	1.37372	28.025
FBgn0034300	5047.14	4876.14	11.8646	484
FBgn0265464	2788	2617	4.47616	98
FBgn0036112	761	590.316	0	0
FBgn0262730	7948.79	7777.8	19.8927	1294.39
FBgn0262512	659	488.351	76.367	312
FBgn0015279	4403.84	4232.84	49.8703	1766
FBgn0039831	2802.99	2632	62.7868	1382.52
FBgn0261673	1943.37	1772.38	0.539531	7.999
FBgn0026570	1233.92	1062.93	38.1223	339
FBgn0031574	3462	3291.01	6.39245	176
FBgn0036761	1779.57	1608.57	49.5642	667
FBgn0085385	4898.56	4727.57	0.033192	1.312
FBgn0027296	2019.53	1848.53	8.6002	133
FBgn0033259	2863	2692	31.1706	702
FBgn0033616	1893	1722	10.3427	149
FBgn0030224	1034	863.004	0.138507	1
FBgn0016685	914.921	744.15	303.267	1888
FBgn0003888	2516.71	2345.72	213.286	4185.56
FBgn0025381	2152.59	1981.59	319.322	5293.7
FBgn0052667	368	197.533	1.21025	2
FBgn0031771	1554.67	1383.68	133.9	1550
FBgn0042133	1168	997.004	6.35422	53
FBgn0028546	1070.67	899.679	79.5835	598.999
FBgn0037620	1159	988.004	1.4518	12
FBgn0086710	477.314	306.768	3455.03	8867.04
FBgn0036028	1427	1256	8.94582	94
FBgn0000046	1697.29	1526.3	1.07397	13.713
FBgn0034568	3415.98	3244.98	0.18418	5
FBgn0035464	2239.67	2068.68	42.5851	737
FBgn0032331	1716	1545	0.2321	3
FBgn0261380	1356	1185	23.2002	230
FBgn0039196	1506	1335	0	0
FBgn0051683	1896.45	1725.45	1.65741	23.925
FBgn0011754	2674.41	2503.42	19.4332	407
FBgn0003250	1349	1178	0.20294	2
FBgn0028872	1850.33	1679.34	0	0
FBgn0003975	3463	3292	0.072619	2
FBgn0040751	379	208.527	18.343	32
FBgn0039958	2029.87	1858.88	28.6008	444.78
FBgn0034201	1441.5	1270.74	0	0
FBgn0032390	847.212	676.474	51.7726	293
FBgn0031144	1981.53	1810.53	33.6704	510
FBgn0037481	943	772.221	18.1104	117
FBgn0033457	1055.69	884.699	23.7794	176
FBgn0037974	1216.97	1045.97	27.308	238.96
FBgn0038033	1754	1583	0	0
FBgn0029689	2699	2528	11.1115	235
FBgn0036784	2074	1903	0	0
FBgn0085458	750	579.319	0	0
FBgn0033787	1141.53	970.53	5.29594	43
FBgn0031955	5710.36	5539.37	0.366837	17
FBgn0054011	1090	919.004	0	0
FBgn0051092	3924.62	3753.62	1.17144	36.786
FBgn0003218	4989.69	4818.69	14.5112	584.988
FBgn0029687	2573.54	2402.55	64.6384	1299.21
FBgn0033460	4650.94	4479.94	46.0524	1726
FBgn0039664	1385.4	1214.41	7.23964	73.552
FBgn0037802	1114	943.004	7.09836	56
FBgn0014002	2080.55	1909.56	748.253	11953.6
FBgn0051454	1736	1565	0.152756	2
FBgn0046886	1227	1056	0	0
FBgn0261060	329	158.551	0	0
FBgn0039349	1861.11	1690.11	21.0051	297
FBgn0036230	922.5	751.73	0	0
FBgn0085599	1023	852.004	8.38128	59.74
FBgn0030292	477	306.454	56.947	146
FBgn0039132	1022.61	851.725	55.8557	398
FBgn0032790	1215	1044	12.9378	113
FBgn0029996	2535.55	2364.56	48.3272	956
FBgn0264830	262	91.589	0	0
FBgn0083972	706	535.342	3.12594	14
FBgn0052221	1606	1435	9.24599	111
FBgn0061209	595	424.391	0.1122	0.398
FBgn0019938	5078	4907	30.0839	1235
FBgn0029920	757	586.317	0.003204	0.016
FBgn0259728	885	714.233	6.04918	36.145
FBgn0052732	2189	2018	13.0253	219.901
FBgn0030164	1289.75	1118.75	0	0
FBgn0033785	1902.04	1731.04	6.28372	91
FBgn0250839	1099	928.004	0.128805	1
FBgn0267887	453	282.462	0.000139	0
FBgn0267365	936	765.229	19.9941	128
FBgn0032150	1070.46	899.495	5.71417	43
FBgn0035360	1685.8	1514.81	1.65709	21
FBgn0035833	3722	3551	13.8012	410
FBgn0034849	774.583	603.891	48.6274	245.672
FBgn0035041	2875.31	2704.31	0.0884	2
FBgn0037067	876	705.237	0.169492	1
FBgn0263197	5998.35	5827.35	68.2236	3326
FBgn0033724	654.146	483.494	20.0252	81
FBgn0265201	476	305.454	0.832827	2.128
FBgn0031690	1705.32	1534.32	0.545337	6.999
FBgn0035009	576	405.395	0	0
FBgn0052601	967	796.19	0.481408	3.207
FBgn0033996	1959.16	1788.17	16.8452	252
FBgn0034437	2768	2597	0.046027	1
FBgn0031247	748	577.319	20.2431	97.771
FBgn0039552	649	478.357	0	0
FBgn0030990	2067.85	1896.85	116.768	1853
FBgn0015925	2001.28	1830.28	27.9518	428
FBgn0029959	1181.57	1010.58	32.8821	278
FBgn0001276	727	556.331	24.7086	115
FBgn0036277	437	266.47	99.135	221
FBgn0052643	548	377.403	0.316722	1
FBgn0263782	3818	3647	10.357	316
FBgn0035695	4220.15	4049.15	0.177121	6
FBgn0034138	627.191	456.562	3900.68	14899
FBgn0035997	3199.8	3028.8	22.9687	582
FBgn0028541	2464.54	2293.54	60.768	1166
FBgn0053666	666	495.351	0	0
FBgn0051860	2260.5	2089.5	0	0
FBgn0035312	1183	1012	24.7608	209.635
FBgn0036236	1075	904.004	0.133113	1.007
FBgn0259735	6368.76	6197.76	119.184	6179.75
FBgn0037094	3104.44	2933.44	41.7667	1025
FBgn0051953	715	544.337	0.469011	2.136
FBgn0029523	2309	2138	0.731402	13.082
FBgn0035374	1144	973.004	59.09	481
FBgn0034514	440	269.469	0	0
FBgn0038934	4894.07	4723.07	0.152629	6.031
FBgn0036360	2534	2363	0.050585	1
FBgn0014465	2092.01	1921.01	0.374378	6.016
FBgn0038471	1102	931.004	24.1374	188
FBgn0038047	1623	1452	2.88127	35
FBgn0064237	1495	1324	0	0
FBgn0032036	2397.04	2226.04	343.715	6401
FBgn0038207	740	569.322	0.209955	1
FBgn0259821	4508.11	4337.12	1.81897	66
FBgn0032084	1448.05	1277.06	1.12319	12
FBgn0014427	1176	1005	13.9156	117
FBgn0031257	2621.85	2450.86	45.455	932
FBgn0041094	2278.37	2107.37	75.3157	1327.83
FBgn0033988	2216	2045	29.8683	511
FBgn0001986	3585	3414	37.8132	1080
FBgn0032078	1997.25	1826.25	194.262	2968
FBgn0038551	1645	1474	29.1936	360
FBgn0000808	1991.62	1820.62	7.41895	113.001
FBgn0036895	3746	3575	0.033435	1
FBgn0266455	280	109.576	0	0
FBgn0031575	2764.04	2593.04	10.8789	236
FBgn0033880	1145	974.004	4.04983	33
FBgn0051661	1341	1170	0	0
FBgn0283476	12442	12271	0.068187	7
FBgn0032882	1961	1790	32.9082	492.804
FBgn0025700	891.32	720.551	118.943	717
FBgn0039811	514	343.428	0	0
FBgn0086447	407.052	236.545	31.2803	61.902
FBgn0000463	4337.7	4166.71	0.057375	2.001
FBgn0034748	1924	1753	17.865	262
FBgn0042138	1245.66	1074.66	96.5451	868
FBgn0017556	1210.81	1039.82	0.000124	0.002
FBgn0267423	640	469.361	0	0
FBgn0052843	3276.5	3105.5	0	0
FBgn0250827	860	689.244	0	0
FBgn0023536	2345	2174	3.07901	56
FBgn0263236	3130.34	2959.35	1.13096	27.999
FBgn0039379	1894	1723	33.2996	480
FBgn0263842	318	147.555	0	0
FBgn0259676	1753	1582	24.2539	321
FBgn0050005	887	716.233	30.2983	181.547
FBgn0036842	2803.98	2632.98	32.8227	723
FBgn0026718	1558.37	1387.38	5.08325	59
FBgn0034061	656	485.353	39.4045	160
FBgn0038877	2124	1953	52.9758	865.56
FBgn0262588	777	606.306	18.3347	93
FBgn0264979	1362.53	1191.54	14.2451	142
FBgn0010772	3248.4	3077.41	31.8891	821.001
FBgn0034127	2103	1932	1.48486	24
FBgn0261850	2797	2626	20.1192	442
FBgn0037853	1642	1471	81.3399	1001
FBgn0038851	978	807.173	2.22131	15
FBgn0083942	556	385.4	0	0
FBgn0004915	1413.11	1242.11	38.4162	399.201
FBgn0265630	6017.04	5846.04	25.2516	1235
FBgn0034870	870	699.239	0.170946	1
FBgn0036483	4064.45	3893.45	7.46029	243
FBgn0026869	6323.13	6152.14	28.893	1487.08
FBgn0051404	981	810.168	0.14754	1
FBgn0050446	2303	2132	0.336393	6
FBgn0033020	669.5	498.851	0	0
FBgn0036450	2644	2473	36.0577	746
FBgn0085479	1472	1301	0.091877	1
FBgn0037045	1081	910.004	8.14389	62
FBgn0030114	2710.06	2539.06	42.699	907
FBgn0046685	2895	2724	40.6337	926
FBgn0031951	1147.9	976.905	30.8024	251.741
FBgn0030310	738.968	568.285	371.036	1764
FBgn0032251	1034.69	863.697	10.6565	77
FBgn0036009	1497	1326	0	0
FBgn0039266	1512.14	1341.14	47.6828	535
FBgn0034194	1755.43	1584.43	22.9342	304
FBgn0004554	562.121	391.52	0.305302	1
FBgn0003360	1636.94	1465.94	388.408	4763.46
FBgn0030320	3584.51	3413.51	16.6682	476
FBgn0261639	849	678.258	9.62705	54.627
FBgn0030812	4531.46	4360.46	40.4611	1476
FBgn0052091	2967	2796	1.02602	24
FBgn0039183	3121.65	2950.66	28.4787	703
FBgn0000299	5697.87	5526.88	620.012	28667.9
FBgn0004892	2611	2440	0.048988	1
FBgn0038602	615	444.385	0	0
FBgn0037260	1785	1614	0.814651	11
FBgn0052668	2676	2505	0.763476	16
FBgn0001250	5721.51	5550.51	0.732199	34.001
FBgn0036795	1548	1377	0	0
FBgn0015321	1154.38	983.381	50.8087	418
FBgn0030202	348	177.543	0	0
FBgn0030244	983.337	812.441	0.294254	2
FBgn0039501	2472	2301	6.44151	124
FBgn0038127	935	764.229	0	0
FBgn0003129	2566	2395	0.099818	2
FBgn0033100	561.156	390.554	37.339	122
FBgn0030832	708	537.341	0	0
FBgn0264738	1067	896.004	0	0
FBgn0036302	2190.6	2019.61	62.4409	1055
FBgn0011205	1974.25	1803.25	53.5654	808.085
FBgn0028700	1278.45	1107.46	35.1745	325.889
FBgn0039927	3417.09	3246.09	5.01147	136.094
FBgn0038079	719.667	548.991	0	0
FBgn0040066	1648.82	1477.82	57.0277	705.056
FBgn0030833	3916.49	3745.49	3.73388	117
FBgn0036656	1395.72	1224.74	1.25759	12.885
FBgn0053531	4324.94	4153.94	0.316531	10.999
FBgn0033982	2977.19	2806.2	0.511071	11.998
FBgn0085237	380	209.526	0	0
FBgn0052086	1524	1353	0	0
FBgn0284247	12280.5	12109.5	0	0
FBgn0039434	1030	859.004	0	0
FBgn0051933	2076	1905	0	0
FBgn0038830	670	499.35	19.3907	81.006
FBgn0035294	1682	1511	73.2316	925.722
FBgn0040793	417	246.485	448.09	924
FBgn0014179	2042	1871	0	0
FBgn0031145	835.646	664.946	272.392	1515.29
FBgn0033234	2141.06	1970.06	0.994496	16.391
FBgn0040343	531.457	360.878	0.66245	2
FBgn0050491	1168.24	997.242	2.55228	21.294
FBgn0034420	3273.28	3102.28	119.367	3098
FBgn0054008	715	544.337	4.64213	21.14
FBgn0037297	1605.69	1434.69	19.4125	233
FBgn0031725	2661.5	2490.5	0	0
FBgn0039307	1248	1077	0	0
FBgn0035435	1103	932.004	7.69515	60
FBgn0013810	12202	12031	2.94085	296
FBgn0003963	4652.62	4481.63	65.2652	2447
FBgn0030494	858	687.247	0.521785	3
FBgn0039055	3473	3302	28.4168	785
FBgn0040308	1034.16	863.161	65.7787	475
FBgn0039620	2274	2103	1.59148	28
FBgn0015765	1458.41	1287.41	16.9909	182.999
FBgn0031270	744.478	573.799	4.58297	22
FBgn0029795	1636.09	1465.1	0.897449	11
FBgn0030049	4141.11	3970.12	60.5169	2010
FBgn0052702	11349	11178	4.9297	461
FBgn0032938	3264.95	3093.95	37.8614	980
FBgn0037760	4596.8	4425.8	36.0556	1335
FBgn0259832	474	303.455	9.84758	25
FBgn0020440	4593.2	4422.21	13.2447	490.001
FBgn0004590	639	468.361	0	0
FBgn0024941	3667.27	3496.27	0.034188	1
FBgn0035084	1324.35	1153.36	13.1878	127.248
FBgn0038752	2194	2023	0	0
FBgn0051643	2938	2767	7.9e-05	0.002
FBgn0030746	3764.07	3593.07	0.864951	26
FBgn0015714	1551.7	1380.7	81.9262	946.322
FBgn0037506	1426	1255	0.476221	5
FBgn0266977	516	345.427	0	0
FBgn0035077	1165	994.004	0.064431	0.536
FBgn0053109	1025	854.004	0.139966	1
FBgn0002933	523	352.42	0	0
FBgn0085331	825	654.278	0	0
FBgn0261584	1711.24	1540.25	11.7961	152
FBgn0033362	2061.41	1890.41	7.77735	123
FBgn0030575	1383.74	1212.75	3.4497	35
FBgn0015572	1749	1578	0.454492	6
FBgn0013276	2375	2204	8.12448	149.804
FBgn0032613	2123	1952	20.2689	331
FBgn0036225	1146	975.004	0	0
FBgn0052208	514	343.428	0.00905	0.026
FBgn0017567	819	648.283	160.966	873
FBgn0014388	3434.86	3263.86	589.131	16086.4
FBgn0046763	1934	1763	101.158	1492
FBgn0037061	627	456.372	23.5682	89.983
FBgn0030941	2416.31	2245.31	55.206	1037
FBgn0029809	1433	1262	0	0
FBgn0053120	2301	2130	1.2346	22
FBgn0015614	1239.86	1068.87	78.6227	703.053
FBgn0033498	1268	1097	0.217924	2
FBgn0022224	396	225.506	37.1043	70
FBgn0033729	794.5	623.707	0	0
FBgn0260453	1765.8	1594.8	0.299805	4
FBgn0039160	1362	1191	62.3924	621.672
FBgn0032750	1371	1200	7.47071	75
FBgn0262738	7053.77	6882.78	15.1988	875.163
FBgn0033979	1733.04	1562.04	0.612181	8
FBgn0032651	1360	1189	0	0
FBgn0050376	941	770.225	0	0
FBgn0039495	1455	1284	0.372372	4
FBgn0041105	2454	2283	0.104715	2
FBgn0283627	1560	1389	0	0
FBgn0250862	1473.88	1302.89	0.091744	1
FBgn0052944	2159.56	1988.57	0.841533	14
FBgn0033283	935	764.229	0.312817	2
FBgn0263598	2489.47	2318.47	147.549	2861.9
FBgn0005593	900.893	730.122	5647.84	34498
FBgn0029147	1875.49	1704.49	42.0766	600
FBgn0038290	1428	1257	83.9668	883
FBgn0037409	2629	2458	0	0
FBgn0261514	2583.95	2412.95	0.099075	2
FBgn0010926	3036.61	2865.62	17.6711	423.642
FBgn0031097	1258.9	1087.9	8.68005	79
